省份,城市,确诊,疑似,死亡,治愈,,,,,,,,
河北省,廊坊,32,-,0,30,,,,,,,,
河北省,邯郸,32,-,0,32,,,,,,,,
河北省,石家庄,29,-,0,29,,,,,,,,
河北省,邢台,23,-,1,22,,,,,,,,
河北省,秦皇岛,10,-,1,9,,,,,,,,
河北省,境外输入,10,-,0,10,,,,,,,,
河北省,衡水,8,-,0,8,,,,,,,,
河北省,承德,7,-,0,7,,,,,,,,
河北省,待确认地区,0,-,0,10,,,,,,,,
陕西省,西安,120,-,3,117,,,,,,,,
陕西省,境外输入,75,-,0,66,,,,,,,,
陕西省,汉中,26,-,0,26,,,,,,,,
陕西省,安康,26,-,0,26,,,,,,,,
陕西省,咸阳,17,-,0,17,,,,,,,,
陕西省,渭南,15,-,0,15,,,,,,,,
陕西省,宝鸡,13,-,0,13,,,,,,,,
陕西省,铜川,8,-,0,8,,,,,,,,
陕西省,延安,8,-,0,8,,,,,,,,
陕西省,商洛,7,-,0,7,,,,,,,,
陕西省,榆林,3,-,0,3,,,,,,,,
陕西省,韩城,1,-,0,1,,,,,,,,
陕西省,杨凌示范区,1,-,0,1,,,,,,,,
广西壮族自治区,南宁,55,-,0,55,,,,,,,,
广西壮族自治区,北海,44,-,1,43,,,,,,,,
广西壮族自治区,桂林,32,-,0,32,,,,,,,,
广西壮族自治区,河池,28,-,1,27,,,,,,,,
广西壮族自治区,柳州,24,-,0,24,,,,,,,,
广西壮族自治区,防城港,19,-,0,19,,,,,,,,
广西壮族自治区,玉林,11,-,0,11,,,,,,,,
广西壮族自治区,来宾,11,-,0,11,,,,,,,,
广西壮族自治区,钦州,8,-,0,8,,,,,,,,
广西壮族自治区,贵港,8,-,0,8,,,,,,,,
广西壮族自治区,梧州,5,-,0,5,,,,,,,,
广西壮族自治区,贺州,4,-,0,4,,,,,,,,
广西壮族自治区,百色,3,-,0,3,,,,,,,,
广西壮族自治区,境外输入,2,-,0,2,,,,,,,,
内蒙古自治区,境外输入,161,-,0,161,,,,,,,,
内蒙古自治区,包头,11,-,0,11,,,,,,,,
内蒙古自治区,鄂尔多斯,11,-,0,11,,,,,,,,
